time,PCRGlobWB: Sonoran Desert,PCRGlobWB: Station 1,PCRGlobWB: Station 2,PCRGlobWB: Station 3,PCRGlobWB: Station 4,PCRGlobWB: Station 5,PCRGlobWB: Station 6,PCRGlobWB: Station 7,PCRGlobWB: Station 8,PCRGlobWB: Station 9,PCRGlobWB: Station 10,PCRGlobWB: Station 11,Groundwater Recharge
2075-01-01 00:00:00+00:00,,-8.188796862818037e-12,-3.831771705486986e-11,-9.443496332139922e-12,6.169977723180509e-14,4.58325495882473e-14,3.74342646724396e-13,9.42884254356781e-16,3.9919456629178285e-14,1.617120892184428e-15,1.0345362262166591e-13,0.0,-5.029291108353272e-09
2075-01-02 00:00:00+00:00,,-8.1220663875059e-12,-3.8301476573687765e-11,-9.427200339806596e-12,6.721619788541133e-14,4.0547538335830927e-14,4.129582147158889e-13,9.372215214670308e-16,4.2715397191583904e-14,1.6002311610952957e-15,1.1069292184251456e-13,0.0,-5.015825052576952e-09
2075-01-03 00:00:00+00:00,,-8.184257091481406e-12,-3.8285406095406316e-11,-9.442506672396878e-12,6.721533052367334e-14,3.229164372421482e-14,-5.35464081963255e-08,9.300377291622487e-16,4.270368780812106e-14,1.5764447818705004e-15,1.1070738916525366e-13,0.0,-4.872914994695551e-06
2075-01-04 00:00:00+00:00,,-8.160009126734202e-12,-3.826952296726027e-11,-9.434535618024764e-12,6.722053469410127e-14,2.682252647258094e-14,-5.353847143396706e-08,9.232771356937385e-16,4.270498885072804e-14,1.5545754499635784e-15,1.1070568832309557e-13,0.0,-4.872189597280741e-06
2075-01-05 00:00:00+00:00,,-8.14385364700243e-12,-3.825283839686833e-11,-9.428137090483624e-12,6.686144693457408e-14,2.1911822467688032e-14,-5.353041387934354e-08,9.163606881629335e-16,4.251460294923959e-14,1.532009221699303e-15,1.1048105518548373e-13,0.0,-4.871454044652768e-06
2075-01-06 00:00:00+00:00,,-8.074106487565569e-12,-3.8247630756993445e-11,-9.411192311570282e-12,6.66506780322429e-14,2.4780751859158553e-14,-5.352040588491036e-08,9.117372646994643e-16,4.241442266850193e-14,1.5205791473508166e-15,1.103257703293295e-13,0.0,-4.870535655502472e-06
2075-01-07 00:00:00+00:00,,-8.077964512576141e-12,-3.9994400152787435e-11,-9.420175577090628e-12,6.687705944585787e-14,-7.238603050296888e-09,-5.351271425979576e-08,9.054188224294209e-16,4.253108282226137e-14,1.5006510032007647e-15,1.104210649240274e-13,0.0,-5.528053419550734e-06
2075-01-08 00:00:00+00:00,,-8.065333990947554e-12,-3.997006545186643e-11,-9.414437111832097e-12,6.741742580862464e-14,-7.237755283995284e-09,-5.350559462158344e-08,8.989312912072818e-16,4.285157298444808e-14,1.479661209130448e-15,3.1680885535399425e-14,0.0,-5.527332310332413e-06
2075-01-09 00:00:00+00:00,,-8.053155364784459e-12,-3.994714975474878e-11,-9.408859108495093e-12,6.782508582547919e-14,-7.237062504827918e-09,-5.349982856728275e-08,8.92630742508249e-16,4.303068318334269e-14,1.4593442768576063e-15,3.044583018313972e-14,0.0,-5.526741507524044e-06
2075-01-10 00:00:00+00:00,,-8.038285315148386e-12,-3.992440059108482e-11,-9.402583746320747e-12,6.782768791069316e-14,-7.236371946106601e-09,-5.349368947804578e-08,8.866563544334685e-16,4.302547901291476e-14,1.4405676739993466e-15,1.1049424179440659e-13,0.0,-5.52610936537929e-06
